"School_Name","Region","School_Type","Salary_Type","Salary"
"Grinnell College","Midwestern","Liberal Arts","Mid_Career_75th_Percentile_Salary",116000
"Wayne State University","Midwestern","State","Mid_Career_75th_Percentile_Salary",101000
"University of Toledo","Midwestern","State","Mid_Career_75th_Percentile_Salary",100000
"University of Wisconsin (UW) - Whitewater","Midwestern","State","Mid_Career_75th_Percentile_Salary",99300
"Minnesota State University - Mankato","Midwestern","State","Mid_Career_75th_Percentile_Salary",95700
"University of Wisconsin (UW) - Milwaukee","Midwestern","State","Mid_Career_75th_Percentile_Salary",93700
"Western Michigan University (WMU)","Midwestern","State","Mid_Career_75th_Percentile_Salary",103000
"South Dakota State University (SDSU)","Midwestern","State","Mid_Career_75th_Percentile_Salary",99400
"Ohio University","Midwestern","Party","Mid_Career_75th_Percentile_Salary",106000
"Ohio University","Midwestern","State","Mid_Career_75th_Percentile_Salary",106000
"Illinois State University","Midwestern","State","Mid_Career_75th_Percentile_Salary",105000
"Cleveland State University","Midwestern","State","Mid_Career_75th_Percentile_Salary",97000
"University of Nebraska at Omaha","Midwestern","State","Mid_Career_75th_Percentile_Salary",97400
"Southern Illinois University Carbondale","Midwestern","State","Mid_Career_75th_Percentile_Salary",99300
"Eastern Michigan University","Midwestern","State","Mid_Career_75th_Percentile_Salary",95400
"Bowling Green State University","Midwestern","State","Mid_Career_75th_Percentile_Salary",101000
"St. Cloud State University","Midwestern","State","Mid_Career_75th_Percentile_Salary",101000
"University of Wisconsin (UW) - Parkside","Midwestern","State","Mid_Career_75th_Percentile_Salary",84900
"University of Akron","Midwestern","State","Mid_Career_75th_Percentile_Salary",95200
"Missouri State University (MSU)","Midwestern","State","Mid_Career_75th_Percentile_Salary",102000
"University of Wisconsin (UW) - La Crosse","Midwestern","State","Mid_Career_75th_Percentile_Salary",93100
"University of Wisconsin (UW) - Stout","Midwestern","State","Mid_Career_75th_Percentile_Salary",91600
"Robert Morris College (RMC)","Midwestern",NA,"Mid_Career_75th_Percentile_Salary",95000
"University of Missouri - St. Louis (UMSL)","Midwestern","State","Mid_Career_75th_Percentile_Salary",97600
"University of Wisconsin (UW) - Oshkosh","Midwestern","State","Mid_Career_75th_Percentile_Salary",90100
"University of Missouri - Kansas City (UMKC)","Midwestern","State","Mid_Career_75th_Percentile_Salary",95800
"University of Wisconsin (UW) - Eau Claire","Midwestern","State","Mid_Career_75th_Percentile_Salary",93100
"Ball State University (BSU)","Midwestern","State","Mid_Career_75th_Percentile_Salary",89300
"Park University","Midwestern",NA,"Mid_Career_75th_Percentile_Salary",86400
"University of Wisconsin (UW) - Stevens Point","Midwestern","State","Mid_Career_75th_Percentile_Salary",95400
"Kent State University","Midwestern","State","Mid_Career_75th_Percentile_Salary",87000
"University of Wisconsin (UW) - Green Bay","Midwestern","State","Mid_Career_75th_Percentile_Salary",81800
"Indiana Wesleyan University (IWU)","Midwestern",NA,"Mid_Career_75th_Percentile_Salary",78600
"Pittsburg State University","Midwestern","State","Mid_Career_75th_Percentile_Salary",84600
"Davenport University","Midwestern",NA,"Mid_Career_75th_Percentile_Salary",65600
"Black Hills State University","Midwestern","State","Mid_Career_75th_Percentile_Salary",60900
"Rice University","Southern",NA,"Mid_Career_75th_Percentile_Salary",141000
"Georgetown University","Southern",NA,"Mid_Career_75th_Percentile_Salary",174000
"Duke University","Southern",NA,"Mid_Career_75th_Percentile_Salary",149000
"Georgia Institute of Technology","Southern","Engineering","Mid_Career_75th_Percentile_Salary",137000
"Washington and Lee University","Southern","Liberal Arts","Mid_Career_75th_Percentile_Salary",146000
"Vanderbilt University","Southern",NA,"Mid_Career_75th_Percentile_Salary",147000
"Davidson College","Southern","Liberal Arts","Mid_Career_75th_Percentile_Salary",146000
"University of Virginia (UVA)","Southern","State","Mid_Career_75th_Percentile_Salary",146000
"George Washington University (GWU)","Southern",NA,"Mid_Career_75th_Percentile_Salary",132000
"Texas A&M University","Southern","State","Mid_Career_75th_Percentile_Salary",131000
"Tulane University","Southern",NA,"Mid_Career_75th_Percentile_Salary",134000
"Virginia Polytechnic Institute and State University (Virginia Tech)","Southern","Engineering","Mid_Career_75th_Percentile_Salary",124000
"University of Maryland, College Park","Southern","Party","Mid_Career_75th_Percentile_Salary",126000
"University of Maryland, College Park","Southern","State","Mid_Career_75th_Percentile_Salary",126000
"University of Richmond","Southern","Liberal Arts","Mid_Career_75th_Percentile_Salary",151000
"University of Texas (UT) - Austin","Southern","Party","Mid_Career_75th_Percentile_Salary",129000
"University of Texas (UT) - Austin","Southern","State","Mid_Career_75th_Percentile_Salary",129000
"Emory University","Southern",NA,"Mid_Career_75th_Percentile_Salary",128000
"American University, Washington D.C.","Southern",NA,"Mid_Career_75th_Percentile_Salary",134000
"University of Tulsa","Southern",NA,"Mid_Career_75th_Percentile_Salary",120000
"Baylor University","Southern",NA,"Mid_Career_75th_Percentile_Salary",130000
"University of Florida (UF)","Southern","Party","Mid_Career_75th_Percentile_Salary",120000
"University of Florida (UF)","Southern","State","Mid_Career_75th_Percentile_Salary",120000
"Louisiana State University (LSU)","Southern","Party","Mid_Career_75th_Percentile_Salary",120000
"Louisiana State University (LSU)","Southern","State","Mid_Career_75th_Percentile_Salary",120000
"George Mason University","Southern","State","Mid_Career_75th_Percentile_Salary",114000
"Clemson University","Southern","State","Mid_Career_75th_Percentile_Salary",111000
"University of Georgia (UGA)","Southern","Party","Mid_Career_75th_Percentile_Salary",118000
"University of Georgia (UGA)","Southern","State","Mid_Career_75th_Percentile_Salary",118000
"Auburn University","Southern","State","Mid_Career_75th_Percentile_Salary",109000
"University of Delaware","Southern","State","Mid_Career_75th_Percentile_Salary",119000
"Randolph-Macon College","Southern","Party","Mid_Career_75th_Percentile_Salary",123000
"Randolph-Macon College","Southern","Liberal Arts","Mid_Career_75th_Percentile_Salary",123000
"North Carolina State University (NCSU)","Southern","State","Mid_Career_75th_Percentile_Salary",112000
"University of Oklahoma","Southern","State","Mid_Career_75th_Percentile_Salary",114000
"University of Arkansas","Southern","State","Mid_Career_75th_Percentile_Salary",113000
"University of Alabama at Huntsville (UAH)","Southern","State","Mid_Career_75th_Percentile_Salary",106000
"Howard University","Southern",NA,"Mid_Career_75th_Percentile_Salary",109000
"University of North Carolina at Chapel Hill (UNCH)","Southern","State","Mid_Career_75th_Percentile_Salary",117000
"University of Alabama, Tuscaloosa","Southern","Party","Mid_Career_75th_Percentile_Salary",117000
"University of Alabama, Tuscaloosa","Southern","State","Mid_Career_75th_Percentile_Salary",117000
"University of Texas at Arlington (UTA)","Southern","State","Mid_Career_75th_Percentile_Salary",106000
"Oklahoma State University","Southern","State","Mid_Career_75th_Percentile_Salary",114000
"Tennessee Technological University","Southern","Engineering","Mid_Career_75th_Percentile_Salary",99500
"University of Houston (UH)","Southern","State","Mid_Career_75th_Percentile_Salary",106000
"University of Mississippi","Southern","Party","Mid_Career_75th_Percentile_Salary",108000
"University of Mississippi","Southern","State","Mid_Career_75th_Percentile_Salary",108000
"Lamar University","Southern","State","Mid_Career_75th_Percentile_Salary",114000
"Mississippi State University (MSU)","Southern","State","Mid_Career_75th_Percentile_Salary",108000
"University of Kentucky (UK)","Southern","State","Mid_Career_75th_Percentile_Salary",107000
"Texas Christian University (TCU)","Southern",NA,"Mid_Career_75th_Percentile_Salary",122000
"West Virginia University (WVU)","Southern","Party","Mid_Career_75th_Percentile_Salary",106000
"West Virginia University (WVU)","Southern","State","Mid_Career_75th_Percentile_Salary",106000
"University of Maryland Baltimore County (UMBC)","Southern","State","Mid_Career_75th_Percentile_Salary",105000
"University of Louisiana (UL) at Lafayette","Southern","State","Mid_Career_75th_Percentile_Salary",107000
"Florida International University (FIU)","Southern","State","Mid_Career_75th_Percentile_Salary",98200
"University of Tennessee","Southern","Party","Mid_Career_75th_Percentile_Salary",106000
"University of Tennessee","Southern","State","Mid_Career_75th_Percentile_Salary",106000
"University of Arkansas - Monticello (UAM)","Southern","State","Mid_Career_75th_Percentile_Salary",110000
"University of North Carolina at Charlotte (UNCC)","Southern","State","Mid_Career_75th_Percentile_Salary",99500
"Georgia State University","Southern","State","Mid_Career_75th_Percentile_Salary",99900
"LeTourneau University","Southern",NA,"Mid_Career_75th_Percentile_Salary",95200
"Florida State University (FSU)","Southern","Party","Mid_Career_75th_Percentile_Salary",107000
"Florida State University (FSU)","Southern","State","Mid_Career_75th_Percentile_Salary",107000
"University of Texas at El Paso (UTEP)","Southern","State","Mid_Career_75th_Percentile_Salary",99500
"University of Central Florida (UCF)","Southern","State","Mid_Career_75th_Percentile_Salary",98400
"University of South Carolina","Southern","State","Mid_Career_75th_Percentile_Salary",98400
"Florida Atlantic University (FAU)","Southern","State","Mid_Career_75th_Percentile_Salary",99500
"University of South Florida (USF)","Southern","State","Mid_Career_75th_Percentile_Salary",98100
"University of Texas at San Antonio (UTSA)","Southern","State","Mid_Career_75th_Percentile_Salary",92700
"University of Alabama at Birmingham (UAB)","Southern","State","Mid_Career_75th_Percentile_Salary",91400
"University of Memphis (U of M)","Southern","State","Mid_Career_75th_Percentile_Salary",93500
"Appalachian State University","Southern","State","Mid_Career_75th_Percentile_Salary",90800
"Virginia Commonwealth University (VCU)","Southern","State","Mid_Career_75th_Percentile_Salary",100000
"East Carolina University (ECU)","Southern","State","Mid_Career_75th_Percentile_Salary",98700
"Western Carolina University","Southern","State","Mid_Career_75th_Percentile_Salary",94400
"Jacksonville University","Southern",NA,"Mid_Career_75th_Percentile_Salary",88500
"University of North Carolina at Wilmington (UNCW)","Southern","State","Mid_Career_75th_Percentile_Salary",97100
"Oklahoma City University","Southern",NA,"Mid_Career_75th_Percentile_Salary",80600
"Arkansas State University (ASU)","Southern","State","Mid_Career_75th_Percentile_Salary",83900
"Tarleton State University (TSU)","Southern","State","Mid_Career_75th_Percentile_Salary",80400
"Morehead State University","Southern","State","Mid_Career_75th_Percentile_Salary",72000
"Mississippi College","Southern",NA,"Mid_Career_75th_Percentile_Salary",80400
"Dallas Baptist University","Southern",NA,"Mid_Career_75th_Percentile_Salary",81800
"Austin Peay State University","Southern","State","Mid_Career_75th_Percentile_Salary",73900
"Saint Leo University","Southern",NA,"Mid_Career_75th_Percentile_Salary",80600
"Tusculum College","Southern",NA,"Mid_Career_75th_Percentile_Salary",87300
"Virginia Wesleyan College (VWC)","Southern",NA,"Mid_Career_75th_Percentile_Salary",88900
"Lee University (Cleveland, TN)","Southern",NA,"Mid_Career_75th_Percentile_Salary",76800
"Florida Metropolitan University (FMU)","Southern",NA,"Mid_Career_75th_Percentile_Salary",70400
"Dartmouth College","Northeastern","Ivy League","Mid_Career_75th_Percentile_Salary",234000
"Princeton University","Northeastern","Ivy League","Mid_Career_75th_Percentile_Salary",190000
"Massachusetts Institute of Technology (MIT)","Northeastern","Engineering","Mid_Career_75th_Percentile_Salary",168000
"Yale University","Northeastern","Ivy League","Mid_Career_75th_Percentile_Salary",198000
"Harvard University","Northeastern","Ivy League","Mid_Career_75th_Percentile_Salary",179000
"University of Pennsylvania","Northeastern","Ivy League","Mid_Career_75th_Percentile_Salary",192000
"Polytechnic University of New York, Brooklyn","Northeastern","Engineering","Mid_Career_75th_Percentile_Salary",143000
"Cooper Union","Northeastern","Engineering","Mid_Career_75th_Percentile_Salary",142000
"Worcester Polytechnic Institute (WPI)","Northeastern","Engineering","Mid_Career_75th_Percentile_Salary",137000
"Carnegie Mellon University (CMU)","Northeastern","Engineering","Mid_Career_75th_Percentile_Salary",150000
"Rensselaer Polytechnic Institute (RPI)","Northeastern","Engineering","Mid_Career_75th_Percentile_Salary",140000
"Cornell University","Northeastern","Ivy League","Mid_Career_75th_Percentile_Salary",160000
"Bucknell University","Northeastern","Liberal Arts","Mid_Career_75th_Percentile_Salary",156000
"Brown University","Northeastern","Ivy League","Mid_Career_75th_Percentile_Salary",159000
"Colgate University","Northeastern","Liberal Arts","Mid_Career_75th_Percentile_Salary",167000
"Columbia University","Northeastern","Ivy League","Mid_Career_75th_Percentile_Salary",161000
"Amherst College","Northeastern","Liberal Arts","Mid_Career_75th_Percentile_Salary",162000
"Lafayette College","Northeastern","Liberal Arts","Mid_Career_75th_Percentile_Salary",144000
"Bowdoin College","Northeastern","Liberal Arts","Mid_Career_75th_Percentile_Salary",146000
"College of the Holy Cross","Northeastern","Liberal Arts","Mid_Career_75th_Percentile_Salary",143000
"Stevens Institute of Technology","Northeastern","Engineering","Mid_Career_75th_Percentile_Salary",138000
"Lehigh University","Northeastern",NA,"Mid_Career_75th_Percentile_Salary",160000
"Swarthmore College","Northeastern","Liberal Arts","Mid_Career_75th_Percentile_Salary",167000
"Boston College","Northeastern",NA,"Mid_Career_75th_Percentile_Salary",143000
"Williams College","Northeastern","Liberal Arts","Mid_Career_75th_Percentile_Salary",143000
"Villanova University","Northeastern",NA,"Mid_Career_75th_Percentile_Salary",156000
"Fordham University","Northeastern",NA,"Mid_Career_75th_Percentile_Salary",142000
"Wesleyan University (Middletown, Connecticut)","Northeastern","Liberal Arts","Mid_Career_75th_Percentile_Salary",126000
"Wentworth Institute of Technology","Northeastern","Engineering","Mid_Career_75th_Percentile_Salary",117000
"Bates College","Northeastern","Liberal Arts","Mid_Career_75th_Percentile_Salary",162000
"Binghamton University","Northeastern","State","Mid_Career_75th_Percentile_Salary",146000
"Union College","Northeastern","Liberal Arts","Mid_Career_75th_Percentile_Salary",135000
"New York University (NYU)","Northeastern",NA,"Mid_Career_75th_Percentile_Salary",142000
"Vassar College","Northeastern","Liberal Arts","Mid_Career_75th_Percentile_Salary",123000
"Middlebury College","Northeastern","Liberal Arts","Mid_Career_75th_Percentile_Salary",129000
"Mount Holyoke College","Northeastern","Liberal Arts","Mid_Career_75th_Percentile_Salary",131000
"Boston University","Northeastern",NA,"Mid_Career_75th_Percentile_Salary",130000
"Drexel University","Northeastern",NA,"Mid_Career_75th_Percentile_Salary",122000
"St. John's University, New York","Northeastern",NA,"Mid_Career_75th_Percentile_Salary",124000
"Long Island University","Northeastern",NA,"Mid_Career_75th_Percentile_Salary",122000
"Stony Brook University","Northeastern","State","Mid_Career_75th_Percentile_Salary",129000
"Franklin and Marshall College","Northeastern","Liberal Arts","Mid_Career_75th_Percentile_Salary",185000
"Hofstra University","Northeastern",NA,"Mid_Career_75th_Percentile_Salary",135000
"State University of New York (SUNY) at Albany","Northeastern","Party","Mid_Career_75th_Percentile_Salary",135000
"State University of New York (SUNY) at Albany","Northeastern","State","Mid_Career_75th_Percentile_Salary",135000
"Rutgers University","Northeastern","State","Mid_Career_75th_Percentile_Salary",128000
"Pratt Institute","Northeastern",NA,"Mid_Career_75th_Percentile_Salary",123000
"Pace University","Northeastern",NA,"Mid_Career_75th_Percentile_Salary",129000
"Seton Hall University","Northeastern",NA,"Mid_Career_75th_Percentile_Salary",133000
"Rider University","Northeastern",NA,"Mid_Career_75th_Percentile_Salary",127000
"University of Connecticut (UConn)","Northeastern","State","Mid_Career_75th_Percentile_Salary",120000
"Providence College","Northeastern",NA,"Mid_Career_75th_Percentile_Salary",138000
"University of Massachusetts (UMass) - Amherst","Northeastern","State","Mid_Career_75th_Percentile_Salary",122000
"Ithaca College","Northeastern",NA,"Mid_Career_75th_Percentile_Salary",128000
"University of Massachusetts (UMass) - Lowell","Northeastern","State","Mid_Career_75th_Percentile_Salary",113000
"Northeastern University","Northeastern",NA,"Mid_Career_75th_Percentile_Salary",117000
"Syracuse University","Northeastern",NA,"Mid_Career_75th_Percentile_Salary",119000
"Colby College","Northeastern","Liberal Arts","Mid_Career_75th_Percentile_Salary",129000
"Gettysburg College","Northeastern","Liberal Arts","Mid_Career_75th_Percentile_Salary",132000
"Pennsylvania State University (PSU)","Northeastern","Party","Mid_Career_75th_Percentile_Salary",117000
"Pennsylvania State University (PSU)","Northeastern","State","Mid_Career_75th_Percentile_Salary",117000
"University of Rhode Island (URI)","Northeastern","State","Mid_Career_75th_Percentile_Salary",112000
"Siena College","Northeastern","Liberal Arts","Mid_Career_75th_Percentile_Salary",129000
"La Salle University (Philadelphia)","Northeastern",NA,"Mid_Career_75th_Percentile_Salary",106000
"Rochester Institute of Technology (RIT)","Northeastern","Engineering","Mid_Career_75th_Percentile_Salary",112000
"Duquesne University","Northeastern",NA,"Mid_Career_75th_Percentile_Salary",107000
"State University of New York (SUNY) at Farmingdale","Northeastern","State","Mid_Career_75th_Percentile_Salary",110000
"Smith College","Northeastern","Liberal Arts","Mid_Career_75th_Percentile_Salary",129000
"Hamilton College","Northeastern","Liberal Arts","Mid_Career_75th_Percentile_Salary",123000
"Wellesley College","Northeastern","Liberal Arts","Mid_Career_75th_Percentile_Salary",125000
"Widener University","Northeastern",NA,"Mid_Career_75th_Percentile_Salary",106000
"University of New Haven","Northeastern",NA,"Mid_Career_75th_Percentile_Salary",113000
"Dowling College","Northeastern",NA,"Mid_Career_75th_Percentile_Salary",117000
"University of Vermont (UVM)","Northeastern","State","Mid_Career_75th_Percentile_Salary",122000
"State University of New York (SUNY) at Buffalo","Northeastern","State","Mid_Career_75th_Percentile_Salary",110000
"State University of New York (SUNY) at Geneseo","Northeastern","State","Mid_Career_75th_Percentile_Salary",117000
"Fashion Institute of Technology","Northeastern",NA,"Mid_Career_75th_Percentile_Salary",106000
"Philadelphia University","Northeastern",NA,"Mid_Career_75th_Percentile_Salary",108000
"Ursinus College","Northeastern","Liberal Arts","Mid_Career_75th_Percentile_Salary",100000
"Adelphi University","Northeastern",NA,"Mid_Career_75th_Percentile_Salary",114000
"Juniata College","Northeastern","Liberal Arts","Mid_Career_75th_Percentile_Salary",110000
"Fairleigh Dickinson University","Northeastern",NA,"Mid_Career_75th_Percentile_Salary",112000
"University of New Hampshire (UNH)","Northeastern","Party","Mid_Career_75th_Percentile_Salary",114000
"University of New Hampshire (UNH)","Northeastern","State","Mid_Career_75th_Percentile_Salary",114000
"University of Massachusetts (UMass) - Boston","Northeastern","State","Mid_Career_75th_Percentile_Salary",109000
"State University of New York (SUNY) at Oswego","Northeastern","State","Mid_Career_75th_Percentile_Salary",115000
"University of Massachusetts (UMass) - Dartmouth","Northeastern","State","Mid_Career_75th_Percentile_Salary",107000
"State University of New York (SUNY) at Oneonta","Northeastern","State","Mid_Career_75th_Percentile_Salary",97700
"Quinnipiac University","Northeastern",NA,"Mid_Career_75th_Percentile_Salary",117000
"State University of New York (SUNY) at Plattsburgh","Northeastern","State","Mid_Career_75th_Percentile_Salary",105000
"Sacred Heart University","Northeastern",NA,"Mid_Career_75th_Percentile_Salary",105000
"Skidmore College","Northeastern","Liberal Arts","Mid_Career_75th_Percentile_Salary",147000
"Moravian College","Northeastern","Liberal Arts","Mid_Career_75th_Percentile_Salary",94900
"Penn State - Harrisburg","Northeastern","State","Mid_Career_75th_Percentile_Salary",104000
"Suffolk University","Northeastern",NA,"Mid_Career_75th_Percentile_Salary",95100
"Fitchburg State College","Northeastern","State","Mid_Career_75th_Percentile_Salary",99600
"Roger Williams University","Northeastern",NA,"Mid_Career_75th_Percentile_Salary",102000
"University Of Maine","Northeastern","State","Mid_Career_75th_Percentile_Salary",99300
"State University of New York (SUNY) at Potsdam","Northeastern","State","Mid_Career_75th_Percentile_Salary",100000
"Niagara University","Northeastern",NA,"Mid_Career_75th_Percentile_Salary",92000
"State University of New York (SUNY) at Fredonia","Northeastern","State","Mid_Career_75th_Percentile_Salary",93300
"University of Southern Maine","Northeastern","State","Mid_Career_75th_Percentile_Salary",85700
"Mercy College","Northeastern",NA,"Mid_Career_75th_Percentile_Salary",99000
"Stanford University","California",NA,"Mid_Career_90th_Percentile_Salary",257000
"California Institute of Technology (CIT)","California","Engineering","Mid_Career_90th_Percentile_Salary",NA
"Harvey Mudd College","California","Engineering","Mid_Career_90th_Percentile_Salary",NA
"University of California, Berkeley","California","State","Mid_Career_90th_Percentile_Salary",201000
"Occidental College","California","Liberal Arts","Mid_Career_90th_Percentile_Salary",NA
"Cal Poly San Luis Obispo","California","State","Mid_Career_90th_Percentile_Salary",178000
"University of California at Los Angeles (UCLA)","California","State","Mid_Career_90th_Percentile_Salary",193000
"University of California, San Diego (UCSD)","California","State","Mid_Career_90th_Percentile_Salary",177000
"Pomona College","California","Liberal Arts","Mid_Career_90th_Percentile_Salary",NA
"University of Southern California (USC)","California",NA,"Mid_Career_90th_Percentile_Salary",201000
"University of California, Davis","California","State","Mid_Career_90th_Percentile_Salary",202000
"University of California, Irvine (UCI)","California","State","Mid_Career_90th_Percentile_Salary",172000
"San Jose State University (SJSU)","California","State","Mid_Career_90th_Percentile_Salary",156000
"University of California, Santa Barbara (UCSB)","California","Party","Mid_Career_90th_Percentile_Salary",173000
"University of California, Santa Barbara (UCSB)","California","State","Mid_Career_90th_Percentile_Salary",173000
"California State University (CSU), Chico","California","State","Mid_Career_90th_Percentile_Salary",154000
"California State University, Fullerton (CSUF)","California","State","Mid_Career_90th_Percentile_Salary",158000
"San Francisco State University (SFSU)","California","State","Mid_Career_90th_Percentile_Salary",150000
"San Diego State University (SDSU)","California","State","Mid_Career_90th_Percentile_Salary",158000
"California State University, Long Beach (CSULB)","California","State","Mid_Career_90th_Percentile_Salary",154000
"California State University, East Bay (CSUEB)","California","State","Mid_Career_90th_Percentile_Salary",155000
"University of California, Santa Cruz (UCSC)","California","State","Mid_Career_90th_Percentile_Salary",165000
"California State University, Sacramento (CSUS)","California","State","Mid_Career_90th_Percentile_Salary",154000
"University of California, Riverside (UCR)","California","State","Mid_Career_90th_Percentile_Salary",134000
"California State University, Northridge (CSUN)","California","State","Mid_Career_90th_Percentile_Salary",153000
"California State University, Dominguez Hills (CSUDH)","California","State","Mid_Career_90th_Percentile_Salary",132000
"California State University (CSU), Stanislaus","California","State","Mid_Career_90th_Percentile_Salary",NA
"Humboldt State University","California","State","Mid_Career_90th_Percentile_Salary",117000
"Thomas Aquinas College","California","Liberal Arts","Mid_Career_90th_Percentile_Salary",NA
"Colorado School of Mines","Western","Engineering","Mid_Career_90th_Percentile_Salary",201000
"University of Colorado - Boulder (UCB)","Western","State","Mid_Career_90th_Percentile_Salary",187000
"New Mexico Institute of Mining and Technology (New Mexico Tech)","Western","Engineering","Mid_Career_90th_Percentile_Salary",NA
"Brigham Young University (BYU)","Western",NA,"Mid_Career_90th_Percentile_Salary",164000
"University of Arizona","Western","State","Mid_Career_90th_Percentile_Salary",160000
"University of Washington (UW)","Western","State","Mid_Career_90th_Percentile_Salary",149000
"Washington State University (WSU)","Western","State","Mid_Career_90th_Percentile_Salary",162000
"University of Colorado - Denver","Western","State","Mid_Career_90th_Percentile_Salary",144000
"Arizona State University (ASU)","Western","Party","Mid_Career_90th_Percentile_Salary",163000
"Arizona State University (ASU)","Western","State","Mid_Career_90th_Percentile_Salary",163000
"Oregon State University (OSU)","Western","State","Mid_Career_90th_Percentile_Salary",146000
"University of Utah","Western","State","Mid_Career_90th_Percentile_Salary",148000
"University of Nevada, Reno (UNR)","Western","State","Mid_Career_90th_Percentile_Salary",143000
"Seattle University","Western",NA,"Mid_Career_90th_Percentile_Salary",150000
"University of Idaho","Western","State","Mid_Career_90th_Percentile_Salary",142000
"University of New Mexico (UNM)","Western","State","Mid_Career_90th_Percentile_Salary",141000
"University of Puget Sound","Western","Liberal Arts","Mid_Career_90th_Percentile_Salary",137000
"Colorado College (CC)","Western","Liberal Arts","Mid_Career_90th_Percentile_Salary",NA
"Reed College","Western","Liberal Arts","Mid_Career_90th_Percentile_Salary",NA
"Whitman College","Western","Liberal Arts","Mid_Career_90th_Percentile_Salary",NA
"New Mexico State University","Western","State","Mid_Career_90th_Percentile_Salary",131000
"Colorado State University (CSU)","Western","State","Mid_Career_90th_Percentile_Salary",150000
"University of Wyoming (UW)","Western","State","Mid_Career_90th_Percentile_Salary",145000
"Utah State University","Western","State","Mid_Career_90th_Percentile_Salary",132000
"University of Oregon","Western","State","Mid_Career_90th_Percentile_Salary",186000
"Montana State University - Bozeman","Western","State","Mid_Career_90th_Percentile_Salary",151000
"Gonzaga University","Western",NA,"Mid_Career_90th_Percentile_Salary",138000
"University of Hawaii","Western","State","Mid_Career_90th_Percentile_Salary",128000
"Western Washington University","Western","State","Mid_Career_90th_Percentile_Salary",119000
"Regis University","Western",NA,"Mid_Career_90th_Percentile_Salary",117000
"Idaho State University","Western","State","Mid_Career_90th_Percentile_Salary",143000
"University of Alaska, Anchorage","Western","State","Mid_Career_90th_Percentile_Salary",137000
"Lewis & Clark College","Western","Liberal Arts","Mid_Career_90th_Percentile_Salary",140000
"University of Montana","Western","State","Mid_Career_90th_Percentile_Salary",138000
"University of Nevada, Las Vegas (UNLV)","Western","State","Mid_Career_90th_Percentile_Salary",128000
"Portland State University (PSU)","Western","State","Mid_Career_90th_Percentile_Salary",123000
"Eastern Washington University","Western","State","Mid_Career_90th_Percentile_Salary",117000
"Fort Lewis College","Western","Liberal Arts","Mid_Career_90th_Percentile_Salary",NA
"Boise State University (BSU)","Western","State","Mid_Career_90th_Percentile_Salary",110000
"Utah Valley State College","Western","State","Mid_Career_90th_Percentile_Salary",NA
"Evergreen State College","Western","Liberal Arts","Mid_Career_90th_Percentile_Salary",120000
"Southern Utah University","Western","State","Mid_Career_90th_Percentile_Salary",NA
"Montana State University - Billings","Western","State","Mid_Career_90th_Percentile_Salary",NA
"University of Notre Dame","Midwestern",NA,"Mid_Career_90th_Percentile_Salary",235000
"University Of Chicago","Midwestern",NA,"Mid_Career_90th_Percentile_Salary",255000
"Carleton College","Midwestern","Liberal Arts","Mid_Career_90th_Percentile_Salary",NA
"Illinois Institute of Technology (IIT)","Midwestern","Engineering","Mid_Career_90th_Percentile_Salary",165000
"Case Western Reserve University","Midwestern",NA,"Mid_Career_90th_Percentile_Salary",168000
"University of Illinois at Urbana-Champaign (UIUC)","Midwestern","Party","Mid_Career_90th_Percentile_Salary",177000
"University of Illinois at Urbana-Champaign (UIUC)","Midwestern","State","Mid_Career_90th_Percentile_Salary",177000
"Northwestern University","Midwestern",NA,"Mid_Career_90th_Percentile_Salary",205000
"University of Missouri - Rolla (UMR)","Midwestern","State","Mid_Career_90th_Percentile_Salary",166000
"South Dakota School of Mines & Technology","Midwestern","Engineering","Mid_Career_90th_Percentile_Salary",147000
"University of Michigan","Midwestern","State","Mid_Career_90th_Percentile_Salary",182000
"Purdue University","Midwestern","State","Mid_Career_90th_Percentile_Salary",168000
"Marquette University","Midwestern",NA,"Mid_Career_90th_Percentile_Salary",184000
"DePauw University","Midwestern","Liberal Arts","Mid_Career_90th_Percentile_Salary",185000
"University of Wisconsin (UW) - Madison","Midwestern","State","Mid_Career_90th_Percentile_Salary",170000
"Bradley University","Midwestern",NA,"Mid_Career_90th_Percentile_Salary",151000
"St. Olaf College","Midwestern","Liberal Arts","Mid_Career_90th_Percentile_Salary",185000
"Michigan State University (MSU)","Midwestern","State","Mid_Career_90th_Percentile_Salary",170000
"DePaul University","Midwestern",NA,"Mid_Career_90th_Percentile_Salary",160000
"Iowa State University","Midwestern","State","Mid_Career_90th_Percentile_Salary",147000
"University of Minnesota","Midwestern","State","Mid_Career_90th_Percentile_Salary",148000
"Indiana University (IU), Bloomington","Midwestern","Party","Mid_Career_90th_Percentile_Salary",178000
"Indiana University (IU), Bloomington","Midwestern","State","Mid_Career_90th_Percentile_Salary",178000
"University of Iowa (UI)","Midwestern","Party","Mid_Career_90th_Percentile_Salary",163000
"University of Iowa (UI)","Midwestern","State","Mid_Career_90th_Percentile_Salary",163000
"Ohio State University (OSU)","Midwestern","State","Mid_Career_90th_Percentile_Salary",162000
"Denison University","Midwestern","Liberal Arts","Mid_Career_90th_Percentile_Salary",NA
"University of Illinois at Chicago","Midwestern","State","Mid_Career_90th_Percentile_Salary",146000
"Oberlin College","Midwestern","Liberal Arts","Mid_Career_90th_Percentile_Salary",NA
